"SAMPLE.ID","LAB.ID.x","METHOD","CAS.NUMBER","ANALYTE","RESULT","UNITS","DILUTION","RESULT.REPORTED.TO","MDL","RL","REPORT.BASIS","PERCENT.MOISTURE","PERCENT.SOLID","non.detect","duplicate","location.name","treatment.name","method.name","event.type","LAB.ID.y","MATRIX","COLLECTED","RECEIVED","HOLD","flag"
"KB-07-IN2-1","HS22090451-01","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",7.81,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-1","HS22090451-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",7.77,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-1","HS22090451-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-1","HS22090451-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-01","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-2","HS22090451-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",0,"mg/L",1,"RL",0.1,0.5,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-02","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-3","HS22090451-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0,"mg/L",1,"RL",0.02,0.05,NA,NA,NA,TRUE,FALSE,"Kerbel",NA,NA,"Inflow","-03","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"KB-07-IN2-5","HS22090451-04","E200.8 - 200.8","7782-49-2","Selenium",6.44,"µg/L",1,"RL",0.86,2,NA,NA,NA,FALSE,FALSE,"Kerbel",NA,NA,"Inflow","-04","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","E300 - 300_W","ARC-NO3NO2N","Nitrate/Nitrite (as N)",8.02,"mg/L",1,"RL",0.03,0.2,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.02,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,FALSE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
"CT2-FF-07-GB-1","HS22090451-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,NA,NA,NA,TRUE,FALSE,"Kerbel","CT2","Grab Sample","Point Sample","-05","Water","07 Sep 2022 17:00","09 Sep 2022 09:55","No",NA
