"sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","non.detect","duplicate","location.name","treatment.name","method.name","event.type","event.count","collected","received","flag"
"AV-CT1-03-OT-LC","HS23080215-01","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",31,"mg/L",1,"RL",0.1,0.5,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC","HS23080215-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.83,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC","HS23080215-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC","HS23080215-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC","HS23080215-01","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.733,"mg/L",1,"RL",0.02,0.05,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC","HS23080215-01","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",784,"mg/L",1,"RL",5,10,FALSE,FALSE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC-D","HS23080215-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",12,"mg/L",1,"RL",0.1,0.5,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC-D","HS23080215-02","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",1.86,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC-D","HS23080215-02","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",1,"RL",0.03,0.1,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
"AV-CT1-03-OT-LC-D","HS23080215-02","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0,"mg/L",1,"RL",0.01,0.05,FALSE,TRUE,"AVRC STAR","CT1","ISCO","Outflow","Irrigation 3",2023-08-01 23:00:00,"03 Aug 2023 08:00",NA
