"location.name","treatment.name","event.type","sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","collected","received"
"Kerbel","CT1","Outflow","K-CT1-01-LC","HS23071021-01","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.86,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-LC","HS23071021-01","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-LC","HS23071021-01","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.057,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-LC","HS23071021-01","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",8.1,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-LC","HS23071021-01","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1280,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GBH","HS23071021-04","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1320,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-ISC","HS23071021-02","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.832,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-ISC","HS23071021-02","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1340,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GB","HS23071021-03","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",6,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GB","HS23071021-03","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.74,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GB","HS23071021-03","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GB","HS23071021-03","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.064,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-LC","HS23071021-01","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.64,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GBH","HS23071021-04","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.1,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GBH","HS23071021-04","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.66,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GBH","HS23071021-04","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GBH","HS23071021-04","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.055,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GBH","HS23071021-04","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.106,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"Hourly Grab","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-ISC","HS23071021-02","SM4500P E - P-Ortho M4500P E","7723-14-0","Phosphorus, Total Orthophosphate (as P)",0.062,"mg/L",1,"RL",0.01,0.05,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-ISC","HS23071021-02","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",6.2,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GB","HS23071021-03","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",0.581,"mg/L",1,"RL",0.02,0.05,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-GB","HS23071021-03","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1300,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-ISC","HS23071021-02","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.89,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT1","Outflow","K-CT1-01-ISC","HS23071021-02","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"ISCO","Irrigation 1",NA,-104.99828,40.67641,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT2","Outflow","K-CT2-01-LC","HS23071021-05","M4500 NH3 D - TKN_W 4500NH3 D","7727-37-9TKN","Nitrogen, Total Kjeldahl",5.9,"mg/L",1,"RL",0.1,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99666,40.67637,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT2","Outflow","K-CT2-01-LC","HS23071021-05","SM4500P E - P_TW M4500P E","7723-14-0","Phosphorus, Total (As P)",1.14,"mg/L",2,"RL",0.04,0.1,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99666,40.67637,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT2","Outflow","K-CT2-01-LC","HS23071021-05","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.59,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99666,40.67637,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT2","Outflow","K-CT2-01-GB","HS23071021-06","E300 - 300_W","14797-55-8","Nitrogen, Nitrate (As N)",8.77,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Grab Sample","Irrigation 1",NA,-104.99666,40.67637,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT2","Outflow","K-CT2-01-LC","HS23071021-05","E160.1 - TDS_W_160.1","TDS","Total Dissolved Solids (Residue, Filterable)",1110,"mg/L",1,"RL",5,10,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99666,40.67637,2023-07-18 16:00:00,"18 Jul 2023 13:35"
"Kerbel","CT2","Outflow","K-CT2-01-LC","HS23071021-05","E300 - 300_W","14797-65-0","Nitrogen, Nitrite  (As N)",0,"mg/L",5,"RL",0.15,0.5,NA,FALSE,FALSE,"Low-Cost Sampler","Irrigation 1",NA,-104.99666,40.67637,2023-07-18 16:00:00,"18 Jul 2023 13:35"
